-------------------------------------------------------------------------
Method             Strategy         Mean F1     Std  Disgust F1   Fear F1
-------------------------------------------------------------------------
Baseline           —                 0.6440       —      0.5300    0.4900
SMOTE              full              0.6348  0.0012      0.4849    0.4980
SMOTE              median            0.6354  0.0023      0.4879    0.4926
SMOTE              minority_only     0.6351  0.0013      0.4849    0.4929
BorderlineSMOTE    full              0.6284  0.0007      0.4739    0.4903
BorderlineSMOTE    median            0.6352  0.0014      0.4851    0.4944
BorderlineSMOTE    minority_only     0.6344  0.0010      0.4812    0.4921
SVMSMOTE           full              0.6385  0.0007      0.5078    0.4939
SVMSMOTE           median            0.6371  0.0013      0.4979    0.4901
SVMSMOTE           minority_only     0.6374  0.0006      0.5027    0.4920
ADASYN             full              0.6230  0.0000      0.4457    0.4895
ADASYN             minority_only     0.6298  0.0007      0.4529    0.4919
SMOTETomek         full              0.6344  0.0018      0.4801    0.4964
SMOTETomek         median            0.6352  0.0019      0.4884    0.4904
SMOTETomek         minority_only     0.6353  0.0013      0.4894    0.4947
ClassWeighted      —                 0.6396  0.0018      0.6281    0.4692
-------------------------------------------------------------------------
